fecha,estacion,nombre_estacion,provincia,cultivo,fase,superficie_m2,eficiencia_riego,lluvia_efectiva_ratio,et0_mm,lluvia_mm,tmin_c,tmax_c,tmedia_c,kc,marco_m2_por_planta,etc_mm,riego_bruto_mm,litros_totales,litros_por_planta,ranking_demanda
2024-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.33,0.0,7.4,16.8,12.1,0.7,8.0,0.93,1.03,3614.04,8.26,1
2024-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.33,0.0,7.4,16.8,12.1,0.75,20.0,1.0,1.11,3872.18,22.13,2
2024-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.33,0.0,7.4,16.8,12.1,0.9,30.0,1.19,1.33,4646.62,39.83,3
2024-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.56,0.0,5.9,18.6,12.2,0.7,8.0,1.09,1.21,4236.95,9.68,1
2024-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.56,0.0,5.9,18.6,12.2,0.75,20.0,1.17,1.3,4539.58,25.94,2
2024-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.56,0.0,5.9,18.6,12.2,0.9,30.0,1.4,1.56,5447.5,46.69,3
2024-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.53,2.3,4.9,17.8,11.4,0.7,8.0,1.07,0.0,0.0,0.0,1
2024-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.53,2.3,4.9,17.8,11.4,0.75,20.0,1.15,0.0,0.0,0.0,2
2024-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.53,2.3,4.9,17.8,11.4,0.9,30.0,1.37,0.0,0.0,0.0,3
2024-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.13,7.9,11.6,17.3,14.4,0.7,8.0,0.79,0.0,0.0,0.0,1
2024-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.13,7.9,11.6,17.3,14.4,0.75,20.0,0.85,0.0,0.0,0.0,2
2024-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.13,7.9,11.6,17.3,14.4,0.9,30.0,1.02,0.0,0.0,0.0,3
2024-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.17,0.0,6.5,14.4,10.4,0.7,8.0,0.82,0.91,3180.43,7.27,1
2024-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.17,0.0,6.5,14.4,10.4,0.75,20.0,0.88,0.97,3407.6,19.47,2
2024-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.17,0.0,6.5,14.4,10.4,0.9,30.0,1.05,1.17,4089.12,35.05,3
2024-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.07,0.0,3.0,11.4,7.2,0.7,8.0,0.75,0.83,2915.69,6.66,1
2024-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.07,0.0,3.0,11.4,7.2,0.75,20.0,0.8,0.89,3123.96,17.85,2
2024-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.07,0.0,3.0,11.4,7.2,0.9,30.0,0.96,1.07,3748.75,32.13,3
2024-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.35,0.0,1.0,13.9,7.4,0.7,8.0,0.94,1.05,3667.22,8.38,1
2024-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.35,0.0,1.0,13.9,7.4,0.75,20.0,1.01,1.12,3929.17,22.45,2
2024-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.35,0.0,1.0,13.9,7.4,0.9,30.0,1.21,1.35,4715.0,40.41,3
2024-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.26,2.4,1.1,12.8,7.0,0.7,8.0,0.88,0.0,0.0,0.0,1
2024-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.26,2.4,1.1,12.8,7.0,0.75,20.0,0.95,0.0,0.0,0.0,2
2024-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.26,2.4,1.1,12.8,7.0,0.9,30.0,1.14,0.0,0.0,0.0,3
2024-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,0.67,0.9,7.4,10.2,8.8,0.7,8.0,0.47,0.0,0.0,0.0,1
2024-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,0.67,0.9,7.4,10.2,8.8,0.75,20.0,0.5,0.0,0.0,0.0,2
2024-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,0.67,0.9,7.4,10.2,8.8,0.9,30.0,0.6,0.0,0.0,0.0,3
2024-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.18,0.1,6.6,14.3,10.4,0.7,8.0,0.83,0.83,2910.24,6.65,1
2024-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.18,0.1,6.6,14.3,10.4,0.75,20.0,0.89,0.9,3140.34,17.94,2
2024-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.18,0.1,6.6,14.3,10.4,0.9,30.0,1.07,1.09,3830.63,32.83,3
2024-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.34,0.0,3.8,14.5,9.2,0.7,8.0,0.94,1.04,3643.85,8.33,1
2024-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.34,0.0,3.8,14.5,9.2,0.75,20.0,1.0,1.12,3904.13,22.31,2
2024-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.34,0.0,3.8,14.5,9.2,0.9,30.0,1.2,1.34,4684.95,40.16,3
2024-01-12,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.67,0.0,5.6,18.9,12.2,0.7,8.0,1.17,1.3,4557.36,10.42,1
2024-01-12,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.67,0.0,5.6,18.9,12.2,0.75,20.0,1.26,1.4,4882.89,27.9,2
2024-01-12,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.67,0.0,5.6,18.9,12.2,0.9,30.0,1.51,1.67,5859.47,50.22,3
2024-01-13,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.19,0.0,8.5,15.3,11.9,0.7,8.0,0.83,0.93,3241.03,7.41,1
2024-01-13,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.19,0.0,8.5,15.3,11.9,0.75,20.0,0.89,0.99,3472.53,19.84,2
2024-01-13,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.19,0.0,8.5,15.3,11.9,0.9,30.0,1.07,1.19,4167.04,35.72,3
2024-01-14,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.8,0.0,5.0,19.8,12.4,0.7,8.0,1.26,1.4,4893.63,11.19,1
2024-01-14,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.8,0.0,5.0,19.8,12.4,0.75,20.0,1.35,1.5,5243.18,29.96,2
2024-01-14,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.8,0.0,5.0,19.8,12.4,0.9,30.0,1.62,1.8,6291.82,53.93,3
2024-01-15,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.4,0.0,11.0,18.6,14.8,0.7,8.0,0.98,1.09,3810.92,8.71,1
2024-01-15,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.4,0.0,11.0,18.6,14.8,0.75,20.0,1.05,1.17,4083.13,23.33,2
2024-01-15,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.4,0.0,11.0,18.6,14.8,0.9,30.0,1.26,1.4,4899.75,42.0,3
2024-01-16,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.43,11.0,9.9,18.1,14.0,0.7,8.0,1.0,0.0,0.0,0.0,1
2024-01-16,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.43,11.0,9.9,18.1,14.0,0.75,20.0,1.07,0.0,0.0,0.0,2
2024-01-16,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.43,11.0,9.9,18.1,14.0,0.9,30.0,1.29,0.0,0.0,0.0,3
2024-01-17,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.48,4.6,11.6,19.5,15.6,0.7,8.0,1.04,0.0,0.0,0.0,1
2024-01-17,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.48,4.6,11.6,19.5,15.6,0.75,20.0,1.11,0.0,0.0,0.0,2
2024-01-17,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.48,4.6,11.6,19.5,15.6,0.9,30.0,1.33,0.0,0.0,0.0,3
2024-01-18,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.19,5.7,14.8,19.4,17.1,0.7,8.0,0.83,0.0,0.0,0.0,1
2024-01-18,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.19,5.7,14.8,19.4,17.1,0.75,20.0,0.89,0.0,0.0,0.0,2
2024-01-18,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.19,5.7,14.8,19.4,17.1,0.9,30.0,1.07,0.0,0.0,0.0,3
2024-01-19,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.39,5.1,9.2,17.1,13.2,0.7,8.0,0.98,0.0,0.0,0.0,1
2024-01-19,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.39,5.1,9.2,17.1,13.2,0.75,20.0,1.05,0.0,0.0,0.0,2
2024-01-19,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.39,5.1,9.2,17.1,13.2,0.9,30.0,1.26,0.0,0.0,0.0,3
2024-01-20,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.39,0.0,3.8,14.1,9.0,0.7,8.0,0.97,1.08,3775.35,8.63,1
2024-01-20,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.39,0.0,3.8,14.1,9.0,0.75,20.0,1.04,1.16,4045.01,23.11,2
2024-01-20,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.39,0.0,3.8,14.1,9.0,0.9,30.0,1.25,1.39,4854.02,41.61,3
2024-01-21,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.58,0.0,5.3,16.7,11.0,0.7,8.0,1.11,1.23,4309.74,9.85,1
2024-01-21,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.58,0.0,5.3,16.7,11.0,0.75,20.0,1.19,1.32,4617.58,26.39,2
2024-01-21,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.58,0.0,5.3,16.7,11.0,0.9,30.0,1.42,1.58,5541.09,47.5,3
2024-01-22,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.61,0.0,5.2,16.8,11.0,0.7,8.0,1.13,1.25,4382.17,10.02,1
2024-01-22,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.61,0.0,5.2,16.8,11.0,0.75,20.0,1.21,1.34,4695.18,26.83,2
2024-01-22,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.61,0.0,5.2,16.8,11.0,0.9,30.0,1.45,1.61,5634.22,48.29,3
2024-01-23,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.9,0.0,7.8,20.7,14.2,0.7,8.0,1.33,1.48,5184.65,11.85,1
2024-01-23,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.9,0.0,7.8,20.7,14.2,0.75,20.0,1.43,1.59,5554.98,31.74,2
2024-01-23,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.9,0.0,7.8,20.7,14.2,0.9,30.0,1.71,1.9,6665.97,57.14,3
2024-01-24,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,1.89,0.0,10.2,21.5,15.8,0.7,8.0,1.32,1.47,5137.04,11.74,1
2024-01-24,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,1.89,0.0,10.2,21.5,15.8,0.75,20.0,1.42,1.57,5503.97,31.45,2
2024-01-24,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,1.89,0.0,10.2,21.5,15.8,0.9,30.0,1.7,1.89,6604.77,56.61,3
2024-01-25,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,2.06,0.0,9.7,22.7,16.2,0.7,8.0,1.44,1.6,5614.26,12.83,1
2024-01-25,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,2.06,0.0,9.7,22.7,16.2,0.75,20.0,1.55,1.72,6015.28,34.37,2
2024-01-25,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,2.06,0.0,9.7,22.7,16.2,0.9,30.0,1.86,2.06,7218.33,61.87,3
