fecha,estacion,nombre_estacion,provincia,cultivo,fase,superficie_m2,eficiencia_riego,lluvia_efectiva_ratio,et0_mm,lluvia_mm,tmin_c,tmax_c,tmedia_c,kc,marco_m2_por_planta,etc_mm,riego_bruto_mm,litros_totales,litros_por_planta,ranking_demanda
2024-05-01,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,4.02,0.0,9.3,20.9,15.1,0.7,8.0,2.81,3.13,10943.33,25.01,1
2024-05-01,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,4.02,0.0,9.3,20.9,15.1,0.75,20.0,3.01,3.35,11725.0,67.0,2
2024-05-01,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,4.02,0.0,9.3,20.9,15.1,0.9,30.0,3.62,4.02,14070.0,120.6,3
2024-05-02,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,4.39,0.0,5.4,20.9,13.2,0.7,8.0,3.07,3.41,11950.56,27.32,1
2024-05-02,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,4.39,0.0,5.4,20.9,13.2,0.75,20.0,3.29,3.66,12804.17,73.17,2
2024-05-02,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,4.39,0.0,5.4,20.9,13.2,0.9,30.0,3.95,4.39,15365.0,131.7,3
2024-05-03,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,5.04,0.0,8.3,24.8,16.6,0.7,8.0,3.53,3.92,13720.0,31.36,1
2024-05-03,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,5.04,0.0,8.3,24.8,16.6,0.75,20.0,3.78,4.2,14700.0,84.0,2
2024-05-03,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,5.04,0.0,8.3,24.8,16.6,0.9,30.0,4.54,5.04,17640.0,151.2,3
2024-05-04,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,5.84,0.0,8.9,28.4,18.6,0.7,8.0,4.09,4.54,15897.78,36.34,1
2024-05-04,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,5.84,0.0,8.9,28.4,18.6,0.75,20.0,4.38,4.87,17033.33,97.33,2
2024-05-04,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,5.84,0.0,8.9,28.4,18.6,0.9,30.0,5.26,5.84,20440.0,175.2,3
2024-05-05,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,5.13,0.0,11.8,26.4,19.1,0.7,8.0,3.59,3.99,13965.0,31.92,1
2024-05-05,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,5.13,0.0,11.8,26.4,19.1,0.75,20.0,3.85,4.28,14962.5,85.5,2
2024-05-05,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,5.13,0.0,11.8,26.4,19.1,0.9,30.0,4.62,5.13,17955.0,153.9,3
2024-05-06,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,5.24,0.0,13.9,27.7,20.8,0.7,8.0,3.67,4.08,14264.44,32.6,1
2024-05-06,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,5.24,0.0,13.9,27.7,20.8,0.75,20.0,3.93,4.37,15283.33,87.33,2
2024-05-06,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,5.24,0.0,13.9,27.7,20.8,0.9,30.0,4.72,5.24,18340.0,157.2,3
2024-05-07,5783,SEVILLA AEROPUERTO,SEVILLA,olivar,media,3500.0,0.9,0.8,6.03,0.0,10.9,29.6,20.2,0.7,8.0,4.22,4.69,16415.0,37.52,1
2024-05-07,5783,SEVILLA AEROPUERTO,SEVILLA,citricos,media,3500.0,0.9,0.8,6.03,0.0,10.9,29.6,20.2,0.75,20.0,4.52,5.02,17587.5,100.5,2
2024-05-07,5783,SEVILLA AEROPUERTO,SEVILLA,almendro,media,3500.0,0.9,0.8,6.03,0.0,10.9,29.6,20.2,0.9,30.0,5.43,6.03,21105.0,180.9,3
